"","NAME","YEAR","TEAM","TIME"
"406","Lamparek, Ben","SO-2","Central College","28:00.2"
"407","Sweeney, Jonathan","JR-3","Bethel (Minn.)","28:00.7"
"408","Tystahl, Greg","SO-2","Buena Vista","28:03.0"
"409","Osler, John","SR-4","Grinnell","28:05.3"
"410","Grand, Mitchell","FR-1","St. John's (Minn.)","28:05.7"
"411","Fast, Justus","SO-2","St. John's (Minn.)","28:06.6"
"412","Knopp, Joel","FR-1","Minnesota-Morris","28:07.1"
"413","Shinn, Keaton","SR-4","Bethel (Minn.)","28:10.1"
"414","Will, David","JR-3","Luther","28:10.2"
"415","Steger, Ryan","JR-3","St. Scholastica","28:10.6"
"416","Olson, Casey","JR-3","Gustavus Adolphus","28:12.3"
"417","Phipps, Matthew","SR-4","Grinnell","28:12.7"
"418","Finger, Tyler","JR-3","Wis.-Superior","28:13.1"
"419","Kunce, Nick","SO-2","Northland","28:13.2"
"420","Anderson, Ryan","SR-4","Minnesota-Morris","28:14.5"
"421","Hoover-Grinde, Ian","FR-1","Coe","28:16.2"
"422","Reyes Herrera, Edwin","SR-4","Macalester","28:16.3"
"423","Rieder, Cody","FR-1","Augsburg","28:18.7"
"424","Meaden, Jonathan","JR-3","Saint Mary's (Minn.)","28:21.6"
"425","Orcutt, Michael","JR-3","Dubuque","28:24.1"
"426","Murray, Luke","SO-2","Cornell College","28:25.6"
"427","Stonick, Alexander","FR-1","Augsburg","28:26.4"
"428","Oshirak, Jayden","SO-2","Dubuque","28:27.2"
"429","Kaltschnee, Cameron","JR-3","Buena Vista","28:27.3"
"430","Carter, Ethan","JR-3","Martin Luther","28:27.5"
"431","Phillips, Jakob","SR-4","Nebraska Wesleyan","28:30.5"
"432","Ryan, Tommy","FR-1","Hamline","28:32.0"
"433","Milner, Michael","SR-4","Macalester","28:32.6"
"434","Olsem, Isaiah","JR-3","Saint Mary's (Minn.)","28:33.4"
"435","Anderson, Jakin","SO-2","Bethany Lutheran","28:35.1"
"436","Laughlin, Jonathan","SO-2","St. Scholastica","28:35.3"
"437","Cease, Edmund","SR-4","Minnesota-Morris","28:36.3"
"438","Carlson, Edward","SR-4","Wis.-Superior","28:37.8"
