"","NAME","YEAR","TEAM","TIME"
"878","Hanson-Richart, Kaleb","SO-2","Wilkes","29:51.9"
"879","Reigner, Tyler","FR-1","PSU-Berks","29:52.0"
"880","Buckley, Cooper","FR-1","Alfred State","29:53.2"
"881","Daigneault, Micah","SR-4","Geneva","29:54.3"
"882","Sanderlin, Josh","JR-3","Bethany (W.V.)","29:54.7"
"883","Marshel, Stephen","JR-3","Lancaster Bible","29:56.1"
"884","Graybill, William","SR-4","PSU-Berks","29:59.6"
"885","Evans, Isaac","FR-1","Thiel","30:02.0"
"886","Long, Kevin","JR-3","Wilkes","30:04.9"
"887","Morris, Sean","FR-1","Gwynedd-Mercy","30:07.8"
"888","Knudson, Brett","SO-2","Valley Forge","30:17.2"
"889","Kroll, Conrad","SR-4","Alfred State","30:24.1"
"890","Wong, Ronald","SO-2","St. Mary's (Md.)","30:24.8"
"891","Vent, Evan","SR-4","Westminster (Pa.)","30:26.8"
"892","Zimmer, Frank","SO-2","St. Mary's (Md.)","30:28.8"
"893","Jackson, Ian","FR-1","Westminster (Pa.)","30:29.7"
"894","Wrobleski, Kevin","SO-2","King's (Pa.)","30:31.5"
"895","Schoch, Matthew","JR-3","King's (Pa.)","30:31.9"
"896","Sanchez, Mihai","SR-4","PSU-Berks","30:36.7"
"897","Meaders, Adam","FR-1","Clarks Summit","30:39.3"
"898","Miller, Conner","SO-2","Albright","30:43.0"
"899","Roberts, Frederick","SO-2","Hood","30:51.1"
"900","Henry, Cullen","SR-4","Cairn","30:52.2"
"901","Miller, Austin","FR-1","Alfred State","30:56.0"
"902","Heller, Maxwell","FR-1","Chatham","30:56.1"
"903","McCreesh, Timothy","JR-3","PSU-Abington","30:58.7"
"904","Montemuro, Jason","SR-4","Wilkes","31:00.3"
"905","Franquet, Logan","","Lycoming","31:01.3"
"906","Kraus, Nathan","SO-2","Westminster (Pa.)","31:10.0"
"907","Tassone, Kyle","FR-1","Muhlenberg","31:10.8"
"908","Ahrensfield, Colin","JR-3","Wilkes","31:13.5"
"909","Kalik, Joey","JR-3","Geneva","31:15.5"
"910","Lowengrub, Evan","FR-1","McDaniel","31:21.3"
"911","Poli, Alex","FR-1","Immaculata","31:29.7"
"912","Corsetti, Mike","FR-1","Alvernia","31:32.1"
"913","Mlodzienski, Kyle","FR-1","King's (Pa.)","31:34.8"
"914","Masters, Robert","SR-4","Susquehanna","31:36.2"
"915","Behm, Ben","FR-1","Arcadia","31:37.6"
"916","Reese, Micah","SR-4","Geneva","31:38.5"
"917","Stenger, Maverick","","Lycoming","31:40.7"
"918","Solari, Antonio","SO-2","Arcadia","31:43.2"
"919","Ames, Matthew","SO-2","Clarks Summit","31:43.5"
"920","Abramowicz, Jordan","FR-1","PSU-Berks","31:44.5"
"921","Zengel, Dominic","SR-4","Immaculata","31:48.0"
"922","Bowersox, Brandon","FR-1","Penn College","31:53.9"
"923","Potts , Christopher","JR-3","Cairn","32:00.5"
"924","McDonald, Fineghan","SO-2","Chatham","32:05.5"
"925","Wise, Cullen","FR-1","Bethany (W.V.)","32:08.4"
"926","Diehl, Devin","SO-2","Keystone","32:12.0"
"927","Gallagher, Gregory","SR-4","PSU-Abington","32:16.5"
"928","Menn, Joseph","SO-2","Clarks Summit","32:26.9"
"929","Moses, Daniel","","Lycoming","32:32.1"
"930","Holzman, Joe","FR-1","Goucher","32:34.0"
"931","Desocio, Joseph","FR-1","Alfred State","32:43.8"
"932","Beck, Thomas","JR-3","Alvernia","32:48.3"
"933","Ellaisy, Malek","FR-1","PSU-Abington","32:54.1"
"934","Wise, Dylan","FR-1","Bethany (W.V.)","32:56.3"
"935","Quintero Gorostieta, Guillermo","FR-1","Lycoming","32:58.5"
"936","Jijy, Jeff","FR-1","Alfred State","33:03.9"
"937","Bautista, Chris","FR-1","Gwynedd-Mercy","33:25.0"
"938","Davis, Tyler","FR-1","Arcadia","33:29.7"
"939","Rivas, Paolo","JR-3","Marymount (Va.)","33:41.7"
"940","Aliquo, Nicholas","JR-3","Goucher","33:44.6"
"941","Millison, Nate","FR-1","Washington & Jefferson","33:47.2"
"942","Weaver, Quintin","FR-1","Thiel","33:48.5"
"943","Lake, Legion","SO-2","Thiel","33:58.2"
"944","Marshall, Daniel","FR-1","Lancaster Bible","34:05.4"
"945","Walter, Noah","FR-1","Lancaster Bible","34:05.8"
"946","Snider, James","SR-4","Cairn","34:09.5"
"947","Jackson, Hunter","","Lycoming","34:10.0"
"948","Stefan, Adam","FR-1","Muhlenberg","34:11.6"
"949","Pallares, Diego","","Lycoming","34:46.5"
"950","Clark, Ian","FR-1","Thiel","34:46.6"
"951","Fraizer, Jacob","SO-2","Keystone","34:48.6"
"952","Ford, Matthew","SO-2","Clarks Summit","34:50.0"
"953","Shertzer, Doyle","SO-2","PSU-Berks","34:50.0"
"954","Lape, Sean","JR-3","Keystone","35:11.9"
"955","Ruppert, James","SO-2","Immaculata","35:16.4"
"956","Tichenor, Mark","SR-4","Bethany (W.V.)","35:18.5"
"957","Gleason, Patrick","FR-1","Bethany (W.V.)","35:28.6"
"958","Santore, Dylan","FR-1","Thiel","35:38.7"
"959","Castro, Peter","FR-1","Hood","35:45.7"
"960","Wiggins, Kenneth","JR-3","Rosemont","36:00.9"
"961","Barrera, Gustavo","FR-1","Marymount (Va.)","36:19.4"
"962","Harshbarger, Zeb","","Lycoming","36:31.6"
"963","Vitz, Trevor","JR-3","Gwynedd-Mercy","36:43.3"
"964","Rizzo, Gabriel","JR-3","Rosemont","36:51.2"
"965","Sicurella, Evan","FR-1","Clarks Summit","37:15.5"
"966","Cassano, Vincent","FR-1","Marymount (Va.)","37:19.4"
"967","Rubin, Richard","FR-1","Goucher","37:33.4"
"968","McCabe, Blade","JR-3","Keystone","37:36.3"
"969","Prothero, Charlie","SO-2","Keystone","37:36.5"
"970","Bilik, Christopher","FR-1","Albright","37:44.6"
"971","Coj Beltran, Diego","FR-1","Hood","38:12.7"
"972","Boyce III, James","JR-3","Valley Forge","39:20.7"
"973","Brelo, Joel","FR-1","Valley Forge","39:25.2"
"974","Smith, Griffin","JR-3","Alvernia","40:23.4"
"975","Mody, Aman","FR-1","PSU-Abington","40:46.6"
"976","Anzideo, Matt","JR-3","Immaculata","44:04.0"
"977","Stanton, Nicholas","JR-3","Keystone","DNF"
"978","Patwell, Jack","JR-3","Scranton","DNF"
"979","Cappelli, Raymond","JR-3","Waynesburg","DNS"
"980","Varughese, Joel","SR-4","Cairn","DNS"
"981","Ring, Jonah","SO-2","Swarthmore","DNS"
"982","Nelson, Blake","SO-2","York (Pa.)","DNS"
"983","Conrad, Wyatt","SO-2","PSU-Berks","DNS"
"984","Loy, Andrew","FR-1","Lebanon Valley","DNS"
"985","Cope, Thomas","SO-2","Juniata","DNS"
"986","Moyer, Josiah","FR-1","Messiah","DNS"
"987","Pizzirusso, Andrew","JR-3","Elizabethtown","DNS"
"988","Crozier, John","SR-4","Rosemont","DNS"
"989","Bush, Tymir","SR-4","Rosemont","DNS"
"990","Bett, Meshack","FR-1","Marymount (Va.)","DNS"
"991","Ferrizzi, Vince","FR-1","Lebanon Valley","DNS"
"992","Watt, David","SR-4","Haverford","DNS"
"993","Tenebaum, Sam","FR-1","Salisbury","DNS"
"994","Mercer, Jake","SR-4","St. Vincent (Pa.)","DNS"
"995","King, Andrew","SR-4","Johns Hopkins","DNS"
"996","Witmer, Timothy","JR-3","Elizabethtown","DNS"
"997","Scott, Jared","SR-4","Waynesburg","DNS"
"998","Post, Nick","SO-2","PSU-Behrend","DNS"
"999","Norelli, Charles","SO-2","Gettysburg","DNS"
"1000","Lyon, Malachi","JR-3","Grove City","DNS"
"1001","Oswald, Max","SO-2","DeSales","DNS"
"1002","Haggerty, Stephen","FR-1","Scranton","DNS"
"1003","Kolto, Everett","SO-2","Carnegie Mellon","DNS"
"1004","Deery, Bryan","JR-3","Widener","DNS"
"1005","Walkush, Declan","JR-3","Muhlenberg","DNS"
"1006","Schaaf, Christian","SO-2","Elizabethtown","DNS"
"1007","Carpinello, Austin","FR-1","PSU-Behrend","DNS"
"1008","Laidlaw, Sean","SO-2","Johns Hopkins","DNS"
"1009","Kinst, Jack","JR-3","DeSales","DNS"
"1010","Brownfield, Ryan","SR-4","Waynesburg","DNS"
"1011","Crosby, Owen","JR-3","Gettysburg","DNS"
"1012","Mercer, Teddy","FR-1","Dickinson","DNS"
"1013","Stasulli, Brandon","FR-1","Lebanon Valley","DNS"
"1014","Anderson, John","JR-3","PSU-Behrend","DNS"
"1015","Pena, Damien","FR-1","PSU-Berks","DNS"
"1016","Bayly, Justin","FR-1","Keystone","DNS"
"1017","Urban, Eli","SR-4","St. Vincent (Pa.)","DNS"
"1018","Ramierz, Josue","FR-1","Geneva","DNS"
"1019","Malaspino, Jeffery","FR-1","Bethany (W.V.)","DNS"
"1020","Carolan, Patrick","SO-2","Widener","DNS"
"1021","Gingrich, Peter","JR-3","Moravian","DNS"
"1022","Glennon, Richard","SO-2","Moravian","DNS"
"1023","Collinge, Quenten","FR-1","Widener","DNS"
"1024","Marks, James","FR-1","Dickinson","DNS"
"1025","Jaeger, Joshua","FR-1","Thiel","DNS"
"1026","Katz, Matt","JR-3","Haverford","DNS"
"1027","Anastasi, Anthony","JR-3","Wesley","DNS"
"1028","Tomov, Aiden","FR-1","Swarthmore","DNS"
"1029","Eversden, Graham","SO-2","Carnegie Mellon","DNS"
"1030","Conrad, Jacob","SR-4","PSU-Berks","DNS"
"1031","Neighbour, Patrick","SO-2","Gettysburg","DNS"
"1032","Sanchez Jaimes, Jose","FR-1","Lycoming","DNS"
"1033","Dempsey, Tim","SO-2","Keystone","DNS"
"1034","Jones, Brandon","FR-1","Valley Forge","DNS"
"1035","Summey, Ayinde","JR-3","Dickinson","DNS"
"1036","Wragg, Samuel","SR-4","Arcadia","DNS"
"1037","Troxel, Thomas","FR-1","Grove City","DNS"
"1038","Briner, Christopher","JR-3","Rosemont","DNS"
"1039","Ozymy, Ryan","FR-1","Franciscan (Ohio)","DNS"
"1040","Hsu, Justin","FR-1","Carnegie Mellon","DNS"
"1041","Heim, Ben","JR-3","Washington & Jefferson","DNS"
"1042","Fennell, Connor","SO-2","PSU-Abington","DNS"
"1043","Murray, PJ","SR-4","Johns Hopkins","DNS"
"1044","Long, Chad","SO-2","Messiah","DNS"
"1045","Baker, Evan","SR-4","Swarthmore","DNS"
"1046","Gaiewski, Dan","FR-1","Franklin & Marshall","DNS"
"1047","Smith, Devin","JR-3","Keystone","DNS"
"1048","Tyce, Carl","FR-1","DeSales","DNS"
"1049","Swain, Nathaniel","FR-1","Valley Forge","DNS"
"1050","Suthar, Nilang","SR-4","King's (Pa.)","DNS"
"1051","Alvarado, Christopher","FR-1","Lycoming","DNS"
"1052","Duffy, Liam","FR-1","Moravian","DNS"
"1053","Ebersole, Owen","FR-1","Wilkes","DNS"
"1054","Delince, Will","JR-3","Franklin & Marshall","DNS"
"1055","Hunter, Jack","JR-3","Haverford","DNS"
"1056","Castillo, Jeovannee","FR-1","Lycoming","DNS"
"1057","Lowe, Bryce","FR-1","Grove City","DNS"
"1058","Higgs, Matt","SO-2","Messiah","DNS"
"1059","Hampton, Chase","SR-4","Otterbein","24:02.5"
"1060","Ellis, Jonathan","JR-3","Calvin","24:03.6"
"1061","Johnson, Tyler","SR-4","Calvin","24:07.7"
"1062","Razanauskas, Trey","JR-3","Case Western","24:08.4"
"1063","Phillip, Alex","FR-1","John Carroll","24:12.2"
"1064","Hoffman, Max","SR-4","Otterbein","24:13.1"
"1065","Dailey, Jamie","JR-3","John Carroll","24:15.2"
"1066","Ferguson, Caleb","SR-4","Calvin","24:23.6"
"1067","Ehret, Jamey","SR-4","Otterbein","24:27.0"
"1068","Beakas, Jack","JR-3","Trine","24:27.9"
"1069","Pierson, Ian","SO-2","John Carroll","24:30.6"
"1070","Vreeke, Ryan","SO-2","Calvin","24:30.8"
"1071","Myers, Preston","SO-2","Mount Union","24:31.2"
"1072","St. Clair, Robert","FR-1","Case Western","24:31.6"
"1073","Williams, Zane","SO-2","DePauw","24:32.6"
"1074","Neura, Austin","SR-4","Heidelberg","24:33.0"
"1075","Pinal-Alfaro, Yoshi","JR-3","Case Western","24:34.0"
"1076","Smith, Addison","SR-4","Calvin","24:34.4"
"1077","Martin, Cole","SR-4","DePauw","24:35.8"
"1078","Clevinger, Alex","SR-4","Otterbein","24:36.6"
"1079","Joseph, Jeff","FR-1","Mount Union","24:37.5"
"1080","Neuzerling, Levi","JR-3","Trine","24:40.2"
"1081","Vuskalns, Vilis","SR-4","Trine","24:41.4"
"1082","Drushal, David","SO-2","Heidelberg","24:42.7"
"1083","Whitaker, Evan","SO-2","Wilmington (Ohio)","24:46.1"
"1084","White, Pat","SO-2","John Carroll","24:49.0"
"1085","Hamed, Ahmed","SR-4","Ohio Wesleyan","24:49.5"
"1086","Strohm, Spencer","SR-4","Otterbein","24:49.7"
"1087","Henthorn, Sam","SR-4","Wabash","24:49.8"
"1088","Hoffman, Nicholas","SO-2","Hope","24:50.1"
"1089","Barnard, Samuel","SR-4","Manchester","24:50.1"
"1090","Diebold, Robert","SO-2","Adrian","24:51.0"
"1091","Brumfield, Clayton","SR-4","Franklin","24:52.9"
"1092","Sutter, Travis","JR-3","Ohio Northern","24:53.8"
"1093","Knepper, Brandan","FR-1","Calvin","24:54.3"
"1094","Landis, Nikita","JR-3","Mount Union","24:54.9"
"1095","Hall, David","SR-4","Case Western","24:57.3"
"1096","Isham, Owen","FR-1","Allegheny","24:57.4"
"1097","Begley, Jack","FR-1","Case Western","25:02.1"
"1098","Estes, Ryan","SO-2","Otterbein","25:03.2"
"1099","Hallgarth, Matt","SR-4","John Carroll","25:03.8"
"1100","O'Brien, Neil","JR-3","Trine","25:05.0"
"1101","Heys, Simon","FR-1","Wilmington (Ohio)","25:08.3"
"1102","Probert, Hunter","SO-2","Mount Union","25:09.3"
"1103","Stevenot, Matthew","SR-4","Rose-Hulman","25:10.1"
"1104","Arnold, Jared","SO-2","John Carroll","25:11.0"
"1105","Cromwell, Adam","JR-3","Denison","25:12.3"
"1106","Munz, Kyle","SR-4","DePauw","25:13.9"
"1107","Baker, Ford","FR-1","DePauw","25:14.2"
"1108","Leatherman, Ian","SR-4","Anderson (Ind.)","25:15.4"
"1109","Ginell, Keanan","SO-2","Denison","25:16.5"
"1110","Varineau, Justin","JR-3","Calvin","25:17.0"
"1111","Ammidown, Evan","SR-4","Rose-Hulman","25:18.0"
"1112","Foster, Benjamin","SR-4","Denison","25:20.6"
"1113","Weimer, Aaron","SO-2","Albion","25:23.7"
"1114","Singer, Logan","SO-2","Case Western","25:23.9"
"1115","Schafer, Kenny","SO-2","Oberlin","25:26.5"
"1116","Hall, Ben","SR-4","Rose-Hulman","25:27.1"
"1117","Wallace, Braeden","SO-2","Marietta","25:27.5"
"1118","Kawalec, Jack","SR-4","John Carroll","25:27.9"
"1119","Gothard, Ben","JR-3","Rose-Hulman","25:28.0"
"1120","Ditri, Adam","SR-4","Albion","25:28.6"
"1121","Montgomery, Jack","SR-4","Alma","25:29.3"
"1122","Wiechart, Dylan","JR-3","Heidelberg","25:32.0"
"1123","Miller, Derek","JR-3","Trine","25:32.6"
"1124","Fontanez, Lucas","JR-3","Manchester","25:32.8"
"1125","Krupp, Andrew","JR-3","Baldwin Wallace","25:33.6"
"1126","Zimmerman, Ryan","SO-2","Wittenberg","25:34.0"
"1127","Salazar, Enrique","FR-1","Manchester","25:34.8"
"1128","Korkos, Harrison","JR-3","Trine","25:35.3"
"1129","Meyer, Logan","SO-2","Allegheny","25:38.2"
"1130","Wilson, Isaac","SR-4","Baldwin Wallace","25:39.2"
"1131","Driemeyer, Billy","FR-1","Ohio Northern","25:40.9"
"1132","Amaro, Alex","JR-3","Trine","25:41.1"
"1133","Wakefield, Hunter","SO-2","Wabash","25:41.6"
"1134","Ocasek, Michael","SO-2","DePauw","25:42.3"
"1135","Green, Jordan","JR-3","Ohio Northern","25:42.3"
"1136","Long, Forest","FR-1","Mount Union","25:42.5"
"1137","Gastineau, Thomas","FR-1","Wabash","25:44.0"
"1138","Veach, Hayden","SR-4","Hanover","25:45.1"
"1139","Thompson, Jacob","SR-4","Otterbein","25:45.4"
"1140","D'Orfani, Ross","FR-1","Oberlin","25:46.3"
"1141","McKean, Dylan","JR-3","Ohio Northern","25:46.8"
"1142","Johnson, Tommy","SR-4","Kenyon","25:48.1"
"1143","Heckenlively, Noah","JR-3","Rose-Hulman","25:48.4"
"1144","Hansel, Alex","FR-1","Capital","25:50.3"
"1145","Orchard, Cade","SO-2","Earlham","25:51.7"
"1146","Main, Miles","SO-2","DePauw","25:53.3"
"1147","Reed, Luke","SR-4","Alma","25:54.0"
"1148","Roberts, Spencer","JR-3","Baldwin Wallace","25:54.4"
"1149","Baker, Patrick","SO-2","Ohio Northern","25:54.6"
"1150","Smith, Kiehl","SR-4","Albion","25:54.9"
"1151","Krabacher, Samuel","JR-3","Ohio Northern","25:55.8"
"1152","Bradt, Ethan","FR-1","Ohio Wesleyan","25:56.0"
"1153","Burt, Austin","SO-2","Earlham","25:56.2"
"1154","Worley, Aaron","JR-3","DePauw","25:56.6"
"1155","Brittian, Will","JR-3","Spalding","25:56.7"
"1156","Deiser, Joe","JR-3","Wabash","25:57.9"
"1157","Bach, Jon","SR-4","Mount Union","25:59.7"
"1158","Honkomp, Ryan","JR-3","Wilmington (Ohio)","26:00.3"
"1159","Russ, Sam","FR-1","Oberlin","26:00.5"
"1160","Kilian, Levi","FR-1","Ohio Wesleyan","26:00.8"
"1161","Kelly, Jackson","SR-4","Kalamazoo","26:01.1"
"1162","Hanson, Cooper","SO-2","Hanover","26:01.7"
"1163","Hergenrender, Ty","SR-4","Hope","26:02.3"
"1164","Murphy, Zackary","JR-3","Hope","26:03.0"
"1165","Baker, Daniel","SR-4","Manchester","26:03.3"
"1166","Hann, Breydan","FR-1","Ohio Northern","26:03.9"
"1167","Wahlie, John","JR-3","Mount Union","26:05.4"
"1168","Bleitz, Evan","SO-2","Hope","26:05.6"
"1169","Thomas, Dane","SO-2","Spalding","26:05.9"
"1170","Gutwein, Maxwell","FR-1","Hope","26:06.3"
"1171","Polny, Mac","FR-1","Allegheny","26:07.7"
"1172","Watters, Clayton","SR-4","Denison","26:09.3"
"1173","Walton, Cameron","SR-4","Manchester","26:09.5"
"1174","Smith, Liam","SO-2","Albion","26:10.4"
"1175","Fitschen-Brown, Rhys","SR-4","Denison","26:11.8"
"1176","Gulick, Connor","SR-4","Bluffton","26:13.5"
"1177","Pine, Ethan","SO-2","Wabash","26:13.6"
"1178","Ciriacks, Nathan","SR-4","Rose-Hulman","26:16.3"
"1179","McDowell, Kyle","SO-2","Olivet","26:17.1"
"1180","Taylor, Will","SR-4","Oberlin","26:17.7"
"1181","Kirts, John","SR-4","Wabash","26:19.9"
"1182","Schmitz, Drew","JR-3","Hope","26:20.0"
"1183","Johnston, Zackary","SO-2","Denison","26:20.6"
"1184","Luken, Mitch","SO-2","Heidelberg","26:21.3"
"1185","Cimino, Rick","FR-1","Heidelberg","26:23.0"
"1186","Weighart, Tim","SO-2","Allegheny","26:23.4"
"1187","Gunderson, Tyler","FR-1","Capital","26:23.5"
"1188","Brown, Zach","FR-1","Capital","26:23.5"
"1189","Clemens, Gage","JR-3","Wilmington (Ohio)","26:25.7"
"1190","Conard, Seth","SR-4","Allegheny","26:26.5"
"1191","Sainey, Cullen","SO-2","Wittenberg","26:26.7"
"1192","Prather, David","SO-2","Baldwin Wallace","26:27.6"
"1193","Gross, Nolan","JR-3","Rose-Hulman","26:29.3"
"1194","Pettit, Aedan","SR-4","Wooster","26:32.3"
"1195","Bertsch, Taton","SO-2","Wilmington (Ohio)","26:33.6"
"1196","Rickett, George","SO-2","Wilmington (Ohio)","26:34.5"
"1197","Carlisle, Brett","FR-1","Adrian","26:34.8"
"1198","Vilardo, Andy","JR-3","Hanover","26:37.4"
"1199","Carlington, Timothy","FR-1","Alma","26:37.9"
"1200","Tumbo, Bineyam","JR-3","Earlham","26:39.6"
"1201","Symonds, Andrew","SR-4","Heidelberg","26:40.0"
"1202","Sanchez, Elijah","SO-2","Adrian","26:40.3"
"1203","Reynoso, Jose","JR-3","Baldwin Wallace","26:40.5"
"1204","Jennings, Nathaniel","SO-2","Albion","26:43.4"
"1205","McCandlish, Ian","FR-1","Wittenberg","26:43.6"
"1206","Burnam, Jacob","SO-2","Transylvania","26:43.9"
"1207","Stroup, Karl","JR-3","Alma","26:44.2"
"1208","Markley, Kyle","JR-3","Olivet","26:45.3"
"1209","Criddell, Clarke","SO-2","Wabash","26:45.5"
"1210","Kimmell, Cameron","SR-4","Manchester","26:46.6"
"1211","Zawatsky, Maxwell","FR-1","Capital","26:49.6"
"1212","Spurio, Michael","SO-2","Adrian","26:50.9"
"1213","Wilson, Lane","FR-1","Marietta","26:51.5"
"1214","Boyle, Britton","FR-1","Bluffton","26:52.3"
"1215","Carter, Devan","FR-1","Spalding","26:52.5"
"1216","Gillen, Greg","JR-3","Oberlin","26:53.4"
"1217","Greenman, Hunter","SO-2","Heidelberg","26:54.0"
"1218","Cyrus, Josh","JR-3","Wilmington (Ohio)","26:55.4"
"1219","Loeper, Ben","SR-4","Ohio Wesleyan","26:56.2"
"1220","Frost, Dakota","SR-4","Bluffton","26:56.8"
"1221","Harrell, Alex","SR-4","Albion","26:57.3"
"1222","Kelley, Kole","JR-3","Manchester","26:57.4"
"1223","Riley, Calvin","SO-2","Denison","26:59.3"
"1224","Kellet, Luke","SR-4","Allegheny","27:01.1"
"1225","Queener, Josh","SR-4","Ohio Wesleyan","27:02.4"
"1226","Shoemaker, Luke","FR-1","Hope","27:03.0"
"1227","White, Kyle","FR-1","Baldwin Wallace","27:04.5"
"1228","Neubauer, Paul","JR-3","Kenyon","27:05.5"
"1229","Clegg, Andrew","JR-3","Hanover","27:05.9"
"1230","Rector, Adam","SR-4","Franklin","27:06.1"
"1231","Cannesson, Elias","FR-1","Oberlin","27:06.3"
"1232","Justus, Zach","FR-1","Baldwin Wallace","27:11.2"
"1233","Cook, Adam","JR-3","Allegheny","27:13.2"
"1234","Bevacqui, Daniel","SO-2","Oberlin","27:13.6"
"1235","Foultner, Henry","FR-1","Earlham","27:14.3"
"1236","Costa, Jaden","JR-3","Olivet","27:15.6"
"1237","Martin, William","JR-3","Adrian","27:16.4"
"1238","Rowland, Nolan","JR-3","Alma","27:23.1"
"1239","Caine, Miles","JR-3","Wittenberg","27:24.2"
"1240","Hoegeman , Robert","FR-1","Hanover","27:26.3"
"1241","Sutton, Paul","FR-1","Albion","27:26.4"
"1242","Guchinski, Kaleb","FR-1","Anderson (Ind.)","27:26.5"
"1243","Vermillion, Christian","JR-3","Capital","27:28.6"
"1244","Chandler, Max","FR-1","Bluffton","27:31.6"
"1245","Barry, Nick","JR-3","Ohio Wesleyan","27:34.2"
"1246","Howald, Luke","FR-1","Muskingum","27:34.5"
"1247","Reese, Andrew","SO-2","Wittenberg","27:35.3"
"1248","Idalski, Nathan","SO-2","Alma","27:35.5"
"1249","Eernisse, Taelor","FR-1","Adrian","27:36.1"
"1250","Ramos, Israel","JR-3","Earlham","27:36.7"
"1251","McConkey, Jay","FR-1","Ohio Wesleyan","27:37.4"
"1252","Mendham, Chase","FR-1","Olivet","27:38.1"
"1253","Montgomery, Shaun","JR-3","Spalding","27:38.8"
"1254","Rae, Miki","SR-4","Wooster","27:41.4"
"1255","Crane, Noah","JR-3","Wooster","27:42.1"
"1256","Graham, Chris","JR-3","Franklin","27:44.7"
"1257","Gorley, Ian","FR-1","Earlham","27:46.0"
"1258","Gatewood, Wyatt","FR-1","Spalding","27:47.2"
"1259","Ward, Grant","SO-2","Capital","27:48.5"
"1260","Hernandez, Austin","SO-2","Bluffton","27:51.8"
"1261","Winter, Isaiah","FR-1","Transylvania","27:54.2"
"1262","LaMont, Kevin","FR-1","Adrian","27:57.9"
"1263","Todd, Jackson","JR-3","Wooster","27:59.0"
"1264","Bradley, Ethan","SR-4","Kenyon","28:01.4"
"1265","Wilson, Clayton","JR-3","Anderson (Ind.)","28:01.8"
"1266","Cromer, Johnathon","FR-1","Transylvania","28:03.0"
"1267","DeLong, Alexander","SO-2","Wooster","28:06.0"
"1268","Burczak, Jack","FR-1","Kenyon","28:08.8"
"1269","Hirschenberger, Payton","SR-4","Alma","28:13.3"
"1270","Ramsey, Deven","JR-3","Wittenberg","28:13.3"
"1271","Wilburn, Jaycee","FR-1","Franklin","28:15.4"
"1272","Thompson, Trenton","FR-1","Capital","28:18.7"
"1273","Sugrue, Evan","FR-1","Wittenberg","28:20.9"
"1274","Rizzolo, Lucas","SO-2","Kalamazoo","28:22.1"
"1275","Lewis, Vincent","SR-4","Kenyon","28:22.3"
"1276","Patton, Caleb","SR-4","Kalamazoo","28:30.7"
"1277","Spiece, Noah","FR-1","Olivet","28:31.1"
"1278","Vinson, Jack","FR-1","Spalding","28:33.1"
"1279","Sargent, J.T.","SR-4","Franklin","28:34.9"
"1280","Longman, Chauncey","SO-2","Transylvania","28:40.7"
"1281","Deal, Michael","FR-1","Kenyon","28:42.0"
"1282","McGowan, Peter","SO-2","Spalding","28:49.1"
"1283","Sprague, Grant","SO-2","Wooster","28:50.9"
"1284","Lane, Daniel","SO-2","Kenyon","28:51.9"
"1285","Cavanaugh, Clay","FR-1","Muskingum","28:55.6"
"1286","Knipp, Van","SO-2","Marietta","28:57.5"
"1287","Groves, Sean","SR-4","Franklin","29:03.2"
"1288","Thurman, James","SR-4","Olivet","29:04.8"
"1289","Roberts, Alexander","FR-1","Earlham","29:11.7"
"1290","Gray, Ben","JR-3","Mount St. Joseph","29:20.2"
"1291","Hulufe, Naol","FR-1","Wooster","29:20.7"
"1292","Bruner, Matthew","JR-3","Mount St. Joseph","29:20.9"
"1293","Payne, Robert","SO-2","Transylvania","29:20.9"
"1294","Kersting, Michael","FR-1","Transylvania","29:24.6"
"1295","Schneck, Zac","FR-1","Olivet","29:31.4"
"1296","Adams, Morgan","FR-1","Bluffton","29:34.2"
"1297","Saxton, Wyatt","FR-1","Marietta","29:43.5"
"1298","McIntire, Doug","SR-4","Muskingum","30:12.6"
"1299","Lee, Matthew","SO-2","Franklin","30:30.4"
"1300","Pfeiffenberger, Tyler","SO-2","Mount St. Joseph","30:34.9"
"1301","Hutchinson, Kaid","SR-4","Anderson (Ind.)","30:37.6"
"1302","Panas, Jason","FR-1","Marietta","30:52.7"
"1303","Brodie, Juleon","SO-2","Kalamazoo","31:31.8"
"1304","Peter, Daniel","SO-2","Transylvania","31:39.8"
"1305","Ramsey, Harrison","SR-4","Kalamazoo","31:57.2"
"1306","Skolosh, Logan","SR-4","Muskingum","32:02.7"
"1307","Sheets, Hunter","FR-1","Marietta","32:37.4"
"1308","Muncie, James","SO-2","Muskingum","32:48.7"
"1309","Kent, David","SO-2","Kalamazoo","33:13.2"
"1310","Worthen, Mason","SO-2","Mount St. Joseph","33:16.9"
"1311","Mays, Zach","JR-3","Mount St. Joseph","33:42.0"
"1312","Hart, Kaleb","SO-2","Muskingum","33:54.7"
"1313","Bruno, Austyn","FR-1","Mount St. Joseph","34:05.8"
"1314","Ryan, Aidan","JR-3","Williams","24:51.6"
"1315","Cox, Ryan","SR-4","Williams","24:55.4"
"1316","Morris, Tyler","FR-1","Colby","24:59.2"
"1317","Henderson, Theo","SR-4","Middlebury","24:59.2"
"1318","Decker, Eli","JR-3","Colby","25:00.0"
"1319","Marshall, Kenneth","SR-4","Williams","25:00.0"
"1320","Lindgren, Elias","SO-2","Williams","25:01.6"
"1321","Gannon , Nick","JR-3","Williams","25:04.7"
"1322","McGovern, William","SR-4","Williams","25:06.9"
"1323","Raman, Sanjay","FR-1","MIT","25:08.0"
