"","NAME","YEAR","TEAM","TIME","DATE","COURSE"
"1109","Ginell, Keanan","SO-2","Denison","25:16.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1110","Varineau, Justin","JR-3","Calvin","25:17.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1111","Ammidown, Evan","SR-4","Rose-Hulman","25:18.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1112","Foster, Benjamin","SR-4","Denison","25:20.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1113","Weimer, Aaron","SO-2","Albion","25:23.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1114","Singer, Logan","SO-2","Case Western","25:23.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1115","Schafer, Kenny","SO-2","Oberlin","25:26.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1116","Hall, Ben","SR-4","Rose-Hulman","25:27.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1117","Wallace, Braeden","SO-2","Marietta","25:27.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1118","Kawalec, Jack","SR-4","John Carroll","25:27.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1119","Gothard, Ben","JR-3","Rose-Hulman","25:28.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1120","Ditri, Adam","SR-4","Albion","25:28.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1121","Montgomery, Jack","SR-4","Alma","25:29.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1122","Wiechart, Dylan","JR-3","Heidelberg","25:32.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1123","Miller, Derek","JR-3","Trine","25:32.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1124","Fontanez, Lucas","JR-3","Manchester","25:32.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1125","Krupp, Andrew","JR-3","Baldwin Wallace","25:33.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1126","Zimmerman, Ryan","SO-2","Wittenberg","25:34.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1127","Salazar, Enrique","FR-1","Manchester","25:34.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1128","Korkos, Harrison","JR-3","Trine","25:35.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1129","Meyer, Logan","SO-2","Allegheny","25:38.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1130","Wilson, Isaac","SR-4","Baldwin Wallace","25:39.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1131","Driemeyer, Billy","FR-1","Ohio Northern","25:40.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1132","Amaro, Alex","JR-3","Trine","25:41.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1133","Wakefield, Hunter","SO-2","Wabash","25:41.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1134","Ocasek, Michael","SO-2","DePauw","25:42.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1135","Green, Jordan","JR-3","Ohio Northern","25:42.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1136","Long, Forest","FR-1","Mount Union","25:42.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1137","Gastineau, Thomas","FR-1","Wabash","25:44.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1138","Veach, Hayden","SR-4","Hanover","25:45.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1139","Thompson, Jacob","SR-4","Otterbein","25:45.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1140","D'Orfani, Ross","FR-1","Oberlin","25:46.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1141","McKean, Dylan","JR-3","Ohio Northern","25:46.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1142","Johnson, Tommy","SR-4","Kenyon","25:48.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1143","Heckenlively, Noah","JR-3","Rose-Hulman","25:48.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1144","Hansel, Alex","FR-1","Capital","25:50.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1145","Orchard, Cade","SO-2","Earlham","25:51.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1146","Main, Miles","SO-2","DePauw","25:53.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1147","Reed, Luke","SR-4","Alma","25:54.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1148","Roberts, Spencer","JR-3","Baldwin Wallace","25:54.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1149","Baker, Patrick","SO-2","Ohio Northern","25:54.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1150","Smith, Kiehl","SR-4","Albion","25:54.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1151","Krabacher, Samuel","JR-3","Ohio Northern","25:55.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1152","Bradt, Ethan","FR-1","Ohio Wesleyan","25:56.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1153","Burt, Austin","SO-2","Earlham","25:56.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1154","Worley, Aaron","JR-3","DePauw","25:56.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1155","Brittian, Will","JR-3","Spalding","25:56.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1156","Deiser, Joe","JR-3","Wabash","25:57.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1157","Bach, Jon","SR-4","Mount Union","25:59.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1158","Honkomp, Ryan","JR-3","Wilmington (Ohio)","26:00.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1159","Russ, Sam","FR-1","Oberlin","26:00.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1160","Kilian, Levi","FR-1","Ohio Wesleyan","26:00.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1161","Kelly, Jackson","SR-4","Kalamazoo","26:01.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1162","Hanson, Cooper","SO-2","Hanover","26:01.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1163","Hergenrender, Ty","SR-4","Hope","26:02.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1164","Murphy, Zackary","JR-3","Hope","26:03.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1165","Baker, Daniel","SR-4","Manchester","26:03.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1166","Hann, Breydan","FR-1","Ohio Northern","26:03.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1167","Wahlie, John","JR-3","Mount Union","26:05.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1168","Bleitz, Evan","SO-2","Hope","26:05.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1169","Thomas, Dane","SO-2","Spalding","26:05.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1170","Gutwein, Maxwell","FR-1","Hope","26:06.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1171","Polny, Mac","FR-1","Allegheny","26:07.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1172","Watters, Clayton","SR-4","Denison","26:09.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1173","Walton, Cameron","SR-4","Manchester","26:09.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1174","Smith, Liam","SO-2","Albion","26:10.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1175","Fitschen-Brown, Rhys","SR-4","Denison","26:11.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1176","Gulick, Connor","SR-4","Bluffton","26:13.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1177","Pine, Ethan","SO-2","Wabash","26:13.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1178","Ciriacks, Nathan","SR-4","Rose-Hulman","26:16.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1179","McDowell, Kyle","SO-2","Olivet","26:17.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1180","Taylor, Will","SR-4","Oberlin","26:17.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1181","Kirts, John","SR-4","Wabash","26:19.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1182","Schmitz, Drew","JR-3","Hope","26:20.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1183","Johnston, Zackary","SO-2","Denison","26:20.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1184","Luken, Mitch","SO-2","Heidelberg","26:21.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1185","Cimino, Rick","FR-1","Heidelberg","26:23.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1186","Weighart, Tim","SO-2","Allegheny","26:23.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1187","Gunderson, Tyler","FR-1","Capital","26:23.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1188","Brown, Zach","FR-1","Capital","26:23.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1189","Clemens, Gage","JR-3","Wilmington (Ohio)","26:25.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1190","Conard, Seth","SR-4","Allegheny","26:26.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1191","Sainey, Cullen","SO-2","Wittenberg","26:26.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1192","Prather, David","SO-2","Baldwin Wallace","26:27.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1193","Gross, Nolan","JR-3","Rose-Hulman","26:29.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1194","Pettit, Aedan","SR-4","Wooster","26:32.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1195","Bertsch, Taton","SO-2","Wilmington (Ohio)","26:33.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1196","Rickett, George","SO-2","Wilmington (Ohio)","26:34.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1197","Carlisle, Brett","FR-1","Adrian","26:34.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1198","Vilardo, Andy","JR-3","Hanover","26:37.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1199","Carlington, Timothy","FR-1","Alma","26:37.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1200","Tumbo, Bineyam","JR-3","Earlham","26:39.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1201","Symonds, Andrew","SR-4","Heidelberg","26:40.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1202","Sanchez, Elijah","SO-2","Adrian","26:40.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1203","Reynoso, Jose","JR-3","Baldwin Wallace","26:40.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1204","Jennings, Nathaniel","SO-2","Albion","26:43.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1205","McCandlish, Ian","FR-1","Wittenberg","26:43.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1206","Burnam, Jacob","SO-2","Transylvania","26:43.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1207","Stroup, Karl","JR-3","Alma","26:44.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1208","Markley, Kyle","JR-3","Olivet","26:45.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1209","Criddell, Clarke","SO-2","Wabash","26:45.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1210","Kimmell, Cameron","SR-4","Manchester","26:46.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1211","Zawatsky, Maxwell","FR-1","Capital","26:49.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1212","Spurio, Michael","SO-2","Adrian","26:50.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1213","Wilson, Lane","FR-1","Marietta","26:51.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1214","Boyle, Britton","FR-1","Bluffton","26:52.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1215","Carter, Devan","FR-1","Spalding","26:52.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1216","Gillen, Greg","JR-3","Oberlin","26:53.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1217","Greenman, Hunter","SO-2","Heidelberg","26:54.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1218","Cyrus, Josh","JR-3","Wilmington (Ohio)","26:55.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1219","Loeper, Ben","SR-4","Ohio Wesleyan","26:56.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1220","Frost, Dakota","SR-4","Bluffton","26:56.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1221","Harrell, Alex","SR-4","Albion","26:57.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1222","Kelley, Kole","JR-3","Manchester","26:57.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1223","Riley, Calvin","SO-2","Denison","26:59.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1224","Kellet, Luke","SR-4","Allegheny","27:01.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1225","Queener, Josh","SR-4","Ohio Wesleyan","27:02.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1226","Shoemaker, Luke","FR-1","Hope","27:03.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1227","White, Kyle","FR-1","Baldwin Wallace","27:04.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1228","Neubauer, Paul","JR-3","Kenyon","27:05.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1229","Clegg, Andrew","JR-3","Hanover","27:05.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1230","Rector, Adam","SR-4","Franklin","27:06.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1231","Cannesson, Elias","FR-1","Oberlin","27:06.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1232","Justus, Zach","FR-1","Baldwin Wallace","27:11.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1233","Cook, Adam","JR-3","Allegheny","27:13.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1234","Bevacqui, Daniel","SO-2","Oberlin","27:13.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1235","Foultner, Henry","FR-1","Earlham","27:14.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1236","Costa, Jaden","JR-3","Olivet","27:15.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1237","Martin, William","JR-3","Adrian","27:16.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1238","Rowland, Nolan","JR-3","Alma","27:23.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1239","Caine, Miles","JR-3","Wittenberg","27:24.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1240","Hoegeman , Robert","FR-1","Hanover","27:26.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1241","Sutton, Paul","FR-1","Albion","27:26.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1242","Guchinski, Kaleb","FR-1","Anderson (Ind.)","27:26.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1243","Vermillion, Christian","JR-3","Capital","27:28.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1244","Chandler, Max","FR-1","Bluffton","27:31.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1245","Barry, Nick","JR-3","Ohio Wesleyan","27:34.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1246","Howald, Luke","FR-1","Muskingum","27:34.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1247","Reese, Andrew","SO-2","Wittenberg","27:35.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1248","Idalski, Nathan","SO-2","Alma","27:35.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1249","Eernisse, Taelor","FR-1","Adrian","27:36.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1250","Ramos, Israel","JR-3","Earlham","27:36.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1251","McConkey, Jay","FR-1","Ohio Wesleyan","27:37.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1252","Mendham, Chase","FR-1","Olivet","27:38.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1253","Montgomery, Shaun","JR-3","Spalding","27:38.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1254","Rae, Miki","SR-4","Wooster","27:41.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1255","Crane, Noah","JR-3","Wooster","27:42.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1256","Graham, Chris","JR-3","Franklin","27:44.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1257","Gorley, Ian","FR-1","Earlham","27:46.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1258","Gatewood, Wyatt","FR-1","Spalding","27:47.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1259","Ward, Grant","SO-2","Capital","27:48.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1260","Hernandez, Austin","SO-2","Bluffton","27:51.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1261","Winter, Isaiah","FR-1","Transylvania","27:54.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1262","LaMont, Kevin","FR-1","Adrian","27:57.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1263","Todd, Jackson","JR-3","Wooster","27:59.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1264","Bradley, Ethan","SR-4","Kenyon","28:01.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1265","Wilson, Clayton","JR-3","Anderson (Ind.)","28:01.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1266","Cromer, Johnathon","FR-1","Transylvania","28:03.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1267","DeLong, Alexander","SO-2","Wooster","28:06.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1268","Burczak, Jack","FR-1","Kenyon","28:08.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1269","Hirschenberger, Payton","SR-4","Alma","28:13.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1270","Ramsey, Deven","JR-3","Wittenberg","28:13.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1271","Wilburn, Jaycee","FR-1","Franklin","28:15.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1272","Thompson, Trenton","FR-1","Capital","28:18.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1273","Sugrue, Evan","FR-1","Wittenberg","28:20.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1274","Rizzolo, Lucas","SO-2","Kalamazoo","28:22.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1275","Lewis, Vincent","SR-4","Kenyon","28:22.3","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1276","Patton, Caleb","SR-4","Kalamazoo","28:30.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1277","Spiece, Noah","FR-1","Olivet","28:31.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1278","Vinson, Jack","FR-1","Spalding","28:33.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1279","Sargent, J.T.","SR-4","Franklin","28:34.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1280","Longman, Chauncey","SO-2","Transylvania","28:40.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1281","Deal, Michael","FR-1","Kenyon","28:42.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1282","McGowan, Peter","SO-2","Spalding","28:49.1","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1283","Sprague, Grant","SO-2","Wooster","28:50.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1284","Lane, Daniel","SO-2","Kenyon","28:51.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1285","Cavanaugh, Clay","FR-1","Muskingum","28:55.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1286","Knipp, Van","SO-2","Marietta","28:57.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1287","Groves, Sean","SR-4","Franklin","29:03.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1288","Thurman, James","SR-4","Olivet","29:04.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1289","Roberts, Alexander","FR-1","Earlham","29:11.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1290","Gray, Ben","JR-3","Mount St. Joseph","29:20.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1291","Hulufe, Naol","FR-1","Wooster","29:20.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1292","Bruner, Matthew","JR-3","Mount St. Joseph","29:20.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1293","Payne, Robert","SO-2","Transylvania","29:20.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1294","Kersting, Michael","FR-1","Transylvania","29:24.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1295","Schneck, Zac","FR-1","Olivet","29:31.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1296","Adams, Morgan","FR-1","Bluffton","29:34.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1297","Saxton, Wyatt","FR-1","Marietta","29:43.5","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1298","McIntire, Doug","SR-4","Muskingum","30:12.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1299","Lee, Matthew","SO-2","Franklin","30:30.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1300","Pfeiffenberger, Tyler","SO-2","Mount St. Joseph","30:34.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1301","Hutchinson, Kaid","SR-4","Anderson (Ind.)","30:37.6","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1302","Panas, Jason","FR-1","Marietta","30:52.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1303","Brodie, Juleon","SO-2","Kalamazoo","31:31.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1304","Peter, Daniel","SO-2","Transylvania","31:39.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1305","Ramsey, Harrison","SR-4","Kalamazoo","31:57.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1306","Skolosh, Logan","SR-4","Muskingum","32:02.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1307","Sheets, Hunter","FR-1","Marietta","32:37.4","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1308","Muncie, James","SO-2","Muskingum","32:48.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1309","Kent, David","SO-2","Kalamazoo","33:13.2","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1310","Worthen, Mason","SO-2","Mount St. Joseph","33:16.9","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1311","Mays, Zach","JR-3","Mount St. Joseph","33:42.0","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1312","Hart, Kaleb","SO-2","Muskingum","33:54.7","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1313","Bruno, Austyn","FR-1","Mount St. Joseph","34:05.8","November 16, 2019
","
Calvin College
Grand Rapids, MI 49546
  "
"1314","Ryan, Aidan","JR-3","Williams","24:51.6","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1315","Cox, Ryan","SR-4","Williams","24:55.4","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1316","Morris, Tyler","FR-1","Colby","24:59.2","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1317","Henderson, Theo","SR-4","Middlebury","24:59.2","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1318","Decker, Eli","JR-3","Colby","25:00.0","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1319","Marshall, Kenneth","SR-4","Williams","25:00.0","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1320","Lindgren, Elias","SO-2","Williams","25:01.6","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1321","Gannon , Nick","JR-3","Williams","25:04.7","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1322","McGovern, William","SR-4","Williams","25:06.9","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1323","Raman, Sanjay","FR-1","MIT","25:08.0","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1324","Ferguson-Dryden, Spencer","SR-4","Amherst","25:10.6","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1325","Wysong, Trevor","SR-4","Bridgewater St.","25:11.3","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1326","Colaizzi, Tristan","SR-4","Williams","25:15.9","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1327","McAlister, Weyessa","SR-4","Trinity (Conn.)","25:17.4","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
"1328","Mah, Andrew","SO-2","MIT","25:18.2","November 16, 2019
","
Bowdoin
Brunswick, ME 
  "
