"","NAME","YEAR","TEAM","TIME","DATE","COURSE"
"573","Gibbs, Josh","SR-4","George Fox","28:08.2","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"574","Mahler, Adam","SR-4","Colorado College","28:10.7","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"575","Wasserman, Gabe","FR-1","Whitman","28:13.3","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"576","Baza, Rigoberto","SR-4","Cal Lutheran","28:18.9","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"577","Meek, Gabriel","SR-4","Whitworth","28:19.3","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"578","Farnsworth, Brandon","FR-1","Redlands","28:21.9","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"579","Earney, Matthew","JR-3","Caltech","28:26.3","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"580","Willey, Garret","SO-2","Whitworth","28:28.8","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"581","Sprague, Spencer","FR-1","George Fox","28:37.7","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"582","Sakamaki, Wolfgang","FR-1","Chapman","28:39.5","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"583","Wynn, Riley","JR-3","Pacific Lutheran","28:40.8","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"584","Griffin, Conor","JR-3","Cal Lutheran","28:44.7","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"585","Neal, Garet","FR-1","Pacific (Ore.)","28:45.5","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"586","Anderson, David","FR-1","Chapman","28:46.6","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"587","Johnson, Bryce","JR-3","Pacific Lutheran","28:47.6","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"588","Miller, Silas","JR-3","Whitman","28:48.2","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"589","Fager, David","SR-4","Caltech","28:52.2","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"590","Friederichs, Henry","SR-4","Cal Lutheran","28:53.1","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"591","Morales, Gabriel","SO-2","Whitworth","28:53.8","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"592","West, Andrew","JR-3","Colorado College","28:54.6","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"593","Zamudio, Christian","FR-1","Cal Lutheran","28:54.9","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"594","Regimbal, Gabriel","FR-1","Willamette","28:56.7","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"595","Grode, Caleb","SO-2","Whitworth","29:00.0","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"596","Robertson, Connor","SO-2","Lewis & Clark","29:05.9","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"597","Klinman, James","SO-2","Whitman","29:09.3","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"598","Matteson, Alex","SO-2","Willamette","29:20.2","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"599","Davies, Ronan","FR-1","Willamette","29:33.0","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"600","Guerrero, Jose","SO-2","Chapman","29:34.3","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"601","Paavola, Kalevi","FR-1","Lewis & Clark","29:37.9","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"602","Martin, Grant","SO-2","Whitman","29:48.7","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
"603","Robak, Trey","SO-2","Pacific Lutheran","30:00.1","November 16, 2019
","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  "
