"","X","NAME","YEAR","TEAM","TIME","DATE","MEETNAME","COURSE","MEETNAME_CORR","Score"
"52",207,"Krasemann, Daniel","FR-1","Claremont-Mudd-Scripps","26:55.1","October 12, 2019
","UC San Diego Triton Classic","
UC San Diego
La Jolla, CA 85713
  ","UC_San_Diego_Triton_Classic","148"
"53",211,"Pick, Henry","FR-1","Claremont-Mudd-Scripps","27:23.2","October 12, 2019
","UC San Diego Triton Classic","
UC San Diego
La Jolla, CA 85713
  ","UC_San_Diego_Triton_Classic","148"
"54",227,"Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","24:58.2","September 28, 2019
","Masters University Invitational","
Central Park
Santa Clarita, CA 
  ","Masters_University_Invitational","95"
"55",228,"D'Anieri, Thomas","SR-4","Claremont-Mudd-Scripps","25:01.7","September 28, 2019
","Masters University Invitational","
Central Park
Santa Clarita, CA 
  ","Masters_University_Invitational","95"
"56",229,"Christensen, Miles","SO-2","Claremont-Mudd-Scripps","25:09.7","September 28, 2019
","Masters University Invitational","
Central Park
Santa Clarita, CA 
  ","Masters_University_Invitational","95"
"57",230,"van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","25:21.5","September 28, 2019
","Masters University Invitational","
Central Park
Santa Clarita, CA 
  ","Masters_University_Invitational","95"
"58",231,"Kimball, Will","JR-3","Claremont-Mudd-Scripps","25:32.5","September 28, 2019
","Masters University Invitational","
Central Park
Santa Clarita, CA 
  ","Masters_University_Invitational","95"
"59",236,"Krasemann, Daniel","FR-1","Claremont-Mudd-Scripps","26:18.6","September 28, 2019
","Masters University Invitational","
Central Park
Santa Clarita, CA 
  ","Masters_University_Invitational","95"
"60",254,"Pick, Henry","FR-1","Claremont-Mudd-Scripps","DNS","September 28, 2019
","Masters University Invitational","
Central Park
Santa Clarita, CA 
  ","Masters_University_Invitational","95"
"61",258,"van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","24:11.6","September 21, 2019
","Coyote challenge","
UC San Bernardino
Riverside, CA 85713
  ","Coyote_challenge","6"
"62",259,"D'Anieri, Thomas","SR-4","Claremont-Mudd-Scripps","24:12.4","September 21, 2019
","Coyote challenge","
UC San Bernardino
Riverside, CA 85713
  ","Coyote_challenge","6"
"63",260,"Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","24:14.4","September 21, 2019
","Coyote challenge","
UC San Bernardino
Riverside, CA 85713
  ","Coyote_challenge","6"
"64",261,"Christensen, Miles","SO-2","Claremont-Mudd-Scripps","24:21.9","September 21, 2019
","Coyote challenge","
UC San Bernardino
Riverside, CA 85713
  ","Coyote_challenge","6"
"65",262,"Kimball, Will","JR-3","Claremont-Mudd-Scripps","24:28.8","September 21, 2019
","Coyote challenge","
UC San Bernardino
Riverside, CA 85713
  ","Coyote_challenge","6"
"66",263,"Pick, Henry","FR-1","Claremont-Mudd-Scripps","24:29.3","September 21, 2019
","Coyote challenge","
UC San Bernardino
Riverside, CA 85713
  ","Coyote_challenge","6"
"67",266,"Krasemann, Daniel","FR-1","Claremont-Mudd-Scripps","24:52.7","September 21, 2019
","Coyote challenge","
UC San Bernardino
Riverside, CA 85713
  ","Coyote_challenge","6"
"68",287,"Krasemann, Daniel","FR-1","Claremont-Mudd-Scripps","26:32.3","September 14, 2019
","UCR 39th Annual Cross Country Invitational","
UCR Agg Course
Riverside, CA 85713
  ","UCR_39th_Annual_Cross_Country_Invitational","72"
"69",300,"van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","24:36.9","September 14, 2019
","UCR 39th Annual Cross Country Invitational","
UCR Agg Course
Riverside, CA 85713
  ","UCR_39th_Annual_Cross_Country_Invitational","72"
"70",301,"D'Anieri, Thomas","SR-4","Claremont-Mudd-Scripps","24:48.1","September 14, 2019
","UCR 39th Annual Cross Country Invitational","
UCR Agg Course
Riverside, CA 85713
  ","UCR_39th_Annual_Cross_Country_Invitational","72"
"71",302,"Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","24:55.2","September 14, 2019
","UCR 39th Annual Cross Country Invitational","
UCR Agg Course
Riverside, CA 85713
  ","UCR_39th_Annual_Cross_Country_Invitational","72"
"72",303,"Christensen, Miles","SO-2","Claremont-Mudd-Scripps","25:07.2","September 14, 2019
","UCR 39th Annual Cross Country Invitational","
UCR Agg Course
Riverside, CA 85713
  ","UCR_39th_Annual_Cross_Country_Invitational","72"
